伝票日付,売上日付,支払日付,業者CD,業者名,伝票区分CD,伝票区分名,品名CD,品名,正味重量,数量,単位CD,単位名,単価,金額,受入番号,集計項目CD,集計項目
2025-03-31,2025/03/31(月),2025/03/31(月),10,ｸﾛｻﾜ工業,1,売上,2,混合廃棄物B,640,640,3,kg,70,"44,800",46663,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),5515,ｷｬﾌﾟﾃｨｿﾘｭｰｼｮﾝｽﾞ,1,売上,350,運搬費(4ｔﾕﾆｯｸ車),,1,7,台,"30,000","30,000",46660,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),5515,ｷｬﾌﾟﾃｨｿﾘｭｰｼｮﾝｽﾞ,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,480,480,3,kg,15.5,"7,440",46660,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),5676,千代田電興,1,売上,1,混合廃棄物A,300,300,3,kg,65,"19,500",46674,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),5854,沖原工務所,1,売上,2,混合廃棄物B,70,70,3,kg,70,"4,900",46743,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),6011,SKR,1,売上,21,軽量物系B(ｸﾞﾗｽｳｰﾙ),240,240,3,kg,80,"19,200",46648,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),6025,ｺｸﾖﾛｼﾞﾃﾑ,1,売上,30,選別,440,440,3,kg,50,"22,000",46672,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6025,ｺｸﾖﾛｼﾞﾃﾑ,1,売上,30,選別,700,700,3,kg,50,"35,000",46670,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6032,ﾍﾞﾙ興産,1,売上,1,混合廃棄物A,200,200,3,kg,65,"13,000",46750,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),6032,ﾍﾞﾙ興産,1,売上,29,木くず,480,480,3,kg,35,"16,800",46750,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),5515,ｷｬﾌﾟﾃｨｿﾘｭｰｼｮﾝｽﾞ,1,売上,30,選別,300,300,3,kg,70,"21,000",46660,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),6032,ﾍﾞﾙ興産,1,売上,36,ﾏｯﾄﾚｽ(ｼﾝｸﾞﾙ),-10,1,11,枚,"6,000","6,000",46750,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),6034,新菱冷熱工業都市環境事業部,2,支払,68,GC 軽鉄･ｽﾁｰﾙ類,"1,920","1,920",3,kg,26.5,"50,880",46713,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),6097,ｺｸﾎﾞﾉﾍﾞﾙﾃｨ,1,売上,17,軽量物系A(ｽﾀｲﾛﾌｫｰﾑ),130,130,3,kg,200,"26,000",46725,3.0,C（解体）
2025-03-31,2025/03/31(月),2025/03/31(月),6107,大京穴吹不動産,1,売上,1,混合廃棄物A,90,90,3,kg,55,"4,950",46733,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6107,大京穴吹不動産,1,売上,29,木くず,280,280,3,kg,42,"11,760",46733,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6107,大京穴吹不動産,1,売上,31,金庫,40,40,3,kg,60,"2,400",46733,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6107,大京穴吹不動産,1,売上,38,廃ﾌﾟﾗｽﾁｯｸ類,20,20,3,kg,48,960,46733,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6214,内田工務店,1,売上,2,混合廃棄物B,"1,250","1,250",3,kg,70,"87,500",46646,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),6345,ｸﾛｽｶﾝﾊﾟﾆｰ,1,売上,1,混合廃棄物A,160,160,3,kg,65,"10,400",46745,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6345,ｸﾛｽｶﾝﾊﾟﾆｰ,1,売上,1,混合廃棄物A,230,230,3,kg,65,"14,950",46627,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),6034,新菱冷熱工業都市環境事業部,1,売上,352,運搬費(2ｔ車),,1,7,台,"24,000","24,000",46713,4.0,D（建設）
2025-03-31,2025/03/31(月),2025/03/31(月),5277,ｱﾛｰｽﾞﾍﾙｽｹｱ,1,売上,1,混合廃棄物A,140,140,3,kg,65,"9,100",46747,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5179,ｷｬｯﾄﾊﾝｽﾞ,1,売上,1,混合廃棄物A,200,200,3,kg,65,"13,000",46702,2.0,B（残置）
2025-03-31,2025/03/31(月),2025/03/31(月),5112,RM企画　中山十四夏津,1,売上,492,混合廃棄物（羽毛物）,10,10,3,kg,250,"2,500",46734,2.0,B
