伝票日付,取引先名,品名,正味重量,数量,単位名,単価,金額,営業担当者名,業者CD,業者名,種類CD,種類名,品名CD
2025/07/17(木),WIT,GC 軽鉄･ｽﾁｰﾙ類,200,200,kg,5,"1,000",サン・テクノ,6586,WIT,3,有価物,68
2025/07/17(木),WIT,選別,860,860,kg,70,"60,200",サン・テクノ,6586,WIT,1,処分費,30
2025/07/17(木),ｱｼｽﾄｼﾞｬﾊﾟﾝ,配線,50,50,kg,0,0,山本,7881,ｴﾇ･ﾃｨ･ﾃｨ･ﾙ･ﾊﾟﾙｸ,3,有価物,63
2025/07/17(木),ｵﾈｽﾄ･ﾜﾝ,選別,350,350,kg,60,"21,000",オネスト・ワン,2303,学校法人関東国際学園,1,処分費,30
2025/07/17(木),ｹｲｴｲﾁ･ﾘｻｲｸﾙ,ﾓｰﾀｰ,530,530,kg,0,0,川部,2944,長竹設備,3,有価物,120
2025/07/17(木),ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽ城南,ﾊﾞｯﾃﾘｰ,200,107,個,"1,000","107,000",今村（紀）,834,ｼﾞｬﾊﾟﾝｴﾚﾍﾞｰﾀｰｻｰﾋﾞｽ城南,1,処分費,54
2025/07/17(木),ﾃｲｿｳ物流ｻｰﾋﾞｽ,GC 軽鉄･ｽﾁｰﾙ類,160,160,kg,0,0,渡辺,3489,ﾃｨﾌｧﾆｰ･ｱﾝﾄﾞ･ｶﾝﾊﾟﾆｰ･ｼﾞｬﾊﾟﾝ･ｲﾝｸ,3,有価物,68
2025/07/17(木),ﾃｲｿｳ物流ｻｰﾋﾞｽ,選別,260,260,kg,70,"18,200",渡辺,3489,ﾃｨﾌｧﾆｰ･ｱﾝﾄﾞ･ｶﾝﾊﾟﾆｰ･ｼﾞｬﾊﾟﾝ･ｲﾝｸ,1,処分費,30
2025/07/17(木),ﾗｲｽﾞ,GC 軽鉄･ｽﾁｰﾙ類,100,100,kg,0,0,川部,5773,ﾗｲｽﾞ(日本橋),3,有価物,68
2025/07/17(木),ﾗｲｽﾞ,選別,500,500,kg,70,"35,000",川部,5773,ﾗｲｽﾞ(日本橋),1,処分費,30
2025/07/17(木),三建ｴﾝｼﾞﾆｱﾘﾝｸﾞｻｰﾋﾞｽ,給湯器,90,90,kg,,0,川部,870,三建ｴﾝｼﾞﾆｱﾘﾝｸﾞｻｰﾋﾞｽ,3,有価物,61
2025/07/17(木),泉土木,GC 軽鉄･ｽﾁｰﾙ類,640,640,kg,23.5,"15,040",矢作,3023,竹中工務店東京本店安全環境部,3,有価物,68
2025/07/17(木),泉土木,GC 軽鉄･ｽﾁｰﾙ類,"1,090","1,090",kg,23.5,"25,615",矢作,2402,高砂熱学工業,3,有価物,68
2025/07/17(木),泉土木,GC 軽鉄･ｽﾁｰﾙ類,"1,260","1,260",kg,23.5,"29,610",矢作,3023,竹中工務店東京本店安全環境部,3,有価物,68
2025/07/17(木),泉土木,ﾏｯﾄﾚｽ(ｼﾝｸﾞﾙ),230,11,枚,"6,000","66,000",矢作,1894,京王百貨店,1,処分費,36
2025/07/17(木),泉土木,ﾗｼﾞｴﾀｰ,190,190,kg,0,0,矢作,2402,高砂熱学工業,3,有価物,55
2025/07/17(木),泉土木,選別,350,350,kg,55,"19,250",矢作,1894,京王百貨店,1,処分費,30
2025/07/17(木),谷津商会,GC 軽鉄･ｽﾁｰﾙ類,190,190,kg,0,0,渡辺,1454,谷津商会,3,有価物,68
2025/07/17(木),中央梱包運輸,GC 軽鉄･ｽﾁｰﾙ類,340,340,kg,0,0,今村（紀）,6448,ﾜｷﾀｹｱﾈｯﾄ,3,有価物,68
2025/07/17(木),中央梱包運輸,選別,"1,400","1,400",kg,70,"98,000",今村（紀）,6448,ﾜｷﾀｹｱﾈｯﾄ,1,処分費,30
2025/07/17(木),那須野興業,GC 軽鉄･ｽﾁｰﾙ類,130,130,kg,0,0,山本,351,那須野興業,3,有価物,68
