伝票日付,出荷番号,取引先名,業者CD,業者名,現場CD,現場名,品名,正味重量,数量,単位名,単価,金額,運搬業者名,伝票区分名,明細備考
2025/07/17(木),13568,ｵﾈｽﾄ,000001,ｵﾈｽﾄ,000002,ｵﾈｽﾄ　新木場ﾔｰﾄﾞ,金属くず ｼｭﾚｯﾀ,530,530,kg,0,0,ｵﾈｽﾄ,売上,
2025/07/17(木),13569,■I ･ S ｱｲ･ｴｽ,008327,丸源起業,000000,丸源起業ひかりｴｺｽﾃｰｼｮﾝ,混合廃棄物(S),"9,400","9,400",kg,17,"159,800",ｵﾈｽﾄ,支払,破砕16本
2025/07/17(木),13570,ｵﾈｽﾄ,000001,ｵﾈｽﾄ,000002,ｵﾈｽﾄ　新木場ﾔｰﾄﾞ,鉄千地,590,590,kg,0,0,ｵﾈｽﾄ,支払,
2025/07/17(木),13571,木材開発,008340,木材開発,000000,木材開発市川工場,木くず,"2,020","2,020",kg,10,"20,200",東亜物流,支払,
2025/07/17(木),13572,■TOAｼﾌﾞﾙ,008215,杉田建材,000001,杉田建材市原ｻｰﾏﾙｾﾝﾀｰ,廃ﾌﾟﾗｽﾁｯｸ類,"13,830","13,830",kg,32,"442,560",ｵﾈｽﾄ,支払,20本
2025/07/17(木),13573,宮崎,000747,宮崎,000001,宮崎　新木場リサイクルセンター,ﾍﾟｯﾄﾎﾞﾄﾙ,200,200,kg,3,600,東亜物流,売上,
2025/07/17(木),13574,■I ･ S ｱｲ･ｴｽ,008327,丸源起業,000000,丸源起業ひかりｴｺｽﾃｰｼｮﾝ,混合廃棄物(A),"6,380","6,380",kg,22,"140,360",ｵﾈｽﾄ,支払,A13本
2025/07/17(木),13574,■I ･ S ｱｲ･ｴｽ,008327,丸源起業,000000,丸源起業ひかりｴｺｽﾃｰｼｮﾝ,混合廃棄物(B),"5,580","5,580",kg,29,"161,820",ｵﾈｽﾄ,支払,B12本
2025/07/17(木),13578,共同土木,008339,共同土木,000001,共同土木　東京工場,混合廃棄物（処理困難物）,"2,730","2,730",kg,35,"95,550",■ｴｺﾗｲﾝ,支払,3
2025/07/17(木),13579,木材開発,008340,木材開発,000000,木材開発市川工場,木くず,"1,440","1,440",kg,10,"14,400",■ｴｺﾗｲﾝ,支払,
