必要項目,設定単価,CSVシート,業者名,種類名,品名,単価
処分費,60,出荷,ｵﾈｽﾄ,,金庫,
処分費,60,ヤード,,処分費,金庫,
有価物,31.5,ヤード,,,GAH鋼･鉄筋等,
有価物,31.5,ヤード,,,GC軽鉄･ｽﾁｰﾙ類,
有価物,31.5,ヤード,,,GC軽鉄・ｽﾁｰﾙ類,
有価物,31.5,ヤード,,,GD,
有価物,180,ヤード,,,ｱﾙﾐ類,
有価物,180,ヤード,,,ｽﾃﾝﾚｽ,
有価物,33,ヤード,,,ﾄﾗﾝｽ,
有価物,60,ヤード,,,ﾓｰﾀｰ,
有価物,31.5,ヤード,,,ﾗｼﾞｴﾀｰ,
有価物,28,ヤード,,,室外機,
有価物,31.5,ヤード,,,鉄千地,
有価物,500,ヤード,,,銅,
有価物,100,ヤード,,,配線,
有価買取,50,受入,,,ﾗｼﾞｴﾀｰ,0
有価買取,15,受入,,,ｷﾞﾛ材,0
有価買取,800,受入,,,銅,0
有価買取,15,受入,,,ﾄﾗﾝｽ,0
有価買取,50,受入,,,給湯器,0
有価買取,5,受入,,,鉄千地,0
有価買取,50,受入,,,配線,0
有価買取,50,受入,,,ｱﾙﾐ類,0
有価買取,50,受入,,,ｽﾃﾝﾚｽ,0
有価買取,15,受入,,,GAH鋼･鉄筋等,0
有価買取,15,受入,,,GB,0
有価買取,15,受入,,,GC軽鉄･ｽﾁｰﾙ類,0
有価買取,15,受入,,,GC軽鉄・ｽﾁｰﾙ類,0
有価買取,5,受入,,,GD,0
有価買取,10,受入,,,室外機,0
有価買取,50,受入,,,ｸｰﾗｰﾊﾟｲﾌﾟ,0
有価買取,10,受入,,,ｱﾙﾐ缶,0
有価買取,10,受入,,,ｽﾁｰﾙ缶,0
有価買取,50,受入,,,304ｽﾃﾝ解体,0
有価買取,15,受入,,,ﾓｰﾀｰ,0
有価買取,50,受入,,,機械ｱﾙﾐ,0
