有価名,CSVシート名,業者名,現場名,品名,key_level,セル,値,セルロック,順番
スクラップ,出荷,ｵﾈｽﾄ,,GC軽鉄･ｽﾁｰﾙ類,2,,,1,101
スクラップ,出荷,ｵﾈｽﾄ,,GC軽鉄・ｽﾁｰﾙ類,2,,,1,102
スクラップ,ヤード,,,GAH鋼･鉄筋等,1,,,1,103
スクラップ,ヤード,,,GC軽鉄･ｽﾁｰﾙ類,1,,,1,104
スクラップ,ヤード,,,GC軽鉄・ｽﾁｰﾙ類,1,,,1,105
スクラップ,ヤード,,,GD,1,,,1,106
紙、ダンボール,出荷,,,ﾀﾞﾝﾎﾞｰﾙ,1,,,1,107
紙、ダンボール,出荷,,,雑誌,1,,,1,108
ペットボトル,出荷,,,ﾍﾟｯﾄﾎﾞﾄﾙ,1,,,1,109
アルミ類,出荷,ｵﾈｽﾄ,,ｱﾙﾐ類,2,,,1,110
アルミ類,ヤード,,,ｱﾙﾐ類,1,,,1,111
ステンレス,ヤード,,,ｽﾃﾝﾚｽ,1,,,1,112
トランス,ヤード,,,ﾄﾗﾝｽ,1,,,1,113
モーター,ヤード,,,ﾓｰﾀｰ,1,,,1,114
ラジエター,ヤード,,,ﾗｼﾞｴﾀｰ,1,,,1,115
雑線,出荷,ｵﾈｽﾄ,,雑線,2,,,1,116
アルミ缶,出荷,ｵﾈｽﾄ,,ｱﾙﾐ缶,2,,,1,117
千地,出荷,ｵﾈｽﾄ,,鉄千地,2,,,1,118
千地,ヤード,,,鉄千地,1,,,1,119
室外機,ヤード,,,室外機,1,,,1,120
銅,ヤード,,,銅,1,,,1,121
配線,ヤード,,,配線,1,,,1,122
配線,出荷,ｵﾈｽﾄ,,配線,2,,,1,123
塩ﾋﾞ管(ｸﾞﾚｰ),出荷,,,塩ﾋﾞ管(ｸﾞﾚｰ),1,,,1,124
GB(ｷﾞﾛA),出荷,東京産資源,NOT【ﾔｰﾄﾞ】,GB(ｷﾞﾛA),3,,,1,125
Cﾌﾟﾚｽ,出荷,東京産資源,NOT【ﾔｰﾄﾞ】,Cﾌﾟﾚｽ,3,,,1,126
給湯器,出荷,,,給湯器,1,,,1,127
給湯器,ヤード,,,給湯器,1,,,1,128
スチール缶,出荷,ｵﾈｽﾄ,,ｽﾁｰﾙ缶,2,,,1,129
廃プラスチック,出荷,新洋,,廃ﾌﾟﾗｽﾁｯｸ類,2,,,1,130
